admin_page_cnt,admin_duration,info_page_cnt,info_duration,product_page_cnt,product_duration,bounce_rate,exit_rate,avg_page_val,special_day_0_1,month_raw,op_sys,browser_type,region,traffic_type,visitor_type,weekend,revenue,month_num,session_id
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Feb,1,1,1,1,returning_visitor,False,False,2.0,b3118a9c74976cc7fc8c05b657b1dc18d9ff1951e4f0adc14dd7025639152309
0,0.0,0,0.0,2,64.0,0.0,0.1,0.0,0.0,Feb,2,2,1,2,returning_visitor,False,False,2.0,8629986c88071fd05ab09fa8e75f129322a358824243d92f91b48fe70e0f3c38
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Feb,4,1,9,3,returning_visitor,False,False,2.0,e45922142375de6d6813992f1091254a2229ec26fb556b5b6b1a3dc48a3a9820
0,0.0,0,0.0,2,2.666666667,0.05,0.14,0.0,0.0,Feb,3,2,2,4,returning_visitor,False,False,2.0,8ea05e2b812226bd7312271a7469a52f994896d97f8bae02b5137729e40779de
0,0.0,0,0.0,10,627.5,0.02,0.05,0.0,0.0,Feb,3,3,1,4,returning_visitor,True,False,2.0,2e3e3fd42fd454b7cafd54b340267f80c1ebcf7b646b09dacf64cdff50ae8c97
0,0.0,0,0.0,19,154.2166667,0.015789474,0.024561404,0.0,0.0,Feb,2,2,1,3,returning_visitor,False,False,2.0,4c686b67b331ea903fdcf6c82b5c6394ec0d0613ead938c7728046aa39681ea6
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.4,Feb,2,4,3,3,returning_visitor,False,False,2.0,0a4e70b3ce1ad0519b26e29e1d88e1182c037dd91a29eab2d49afe6d43b1c1e6
1,0.0,0,0.0,0,0.0,0.2,0.2,0.0,0.0,Feb,1,2,1,5,returning_visitor,True,False,2.0,ce1095b12e79f25da230f0db8057da4264295a760d7a3cba586fd3d5d8040f21
0,0.0,0,0.0,2,37.0,0.0,0.1,0.0,0.8,Feb,2,2,2,3,returning_visitor,False,False,2.0,50e02036b132db6e46e6baf0a202ebaf7e2de7debdf3cc44160bb0f3a23c6d8a
0,0.0,0,0.0,3,738.0,0.0,0.022222222,0.0,0.4,Feb,2,4,1,2,returning_visitor,False,False,2.0,f5323b4df2b0f45a29c9f74d6b9cd833b0e8574b013e4e3469e8a187ef0f9934
0,0.0,0,0.0,3,395.0,0.0,0.066666667,0.0,0.0,Feb,1,1,3,3,returning_visitor,False,False,2.0,d7c081aecce183b8c2065e63efab6b7f3ea27362659f5ed4f86556dfb9dcfe10
0,0.0,0,0.0,16,407.75,0.01875,0.025833333,0.0,0.4,Feb,1,1,4,3,returning_visitor,False,False,2.0,8ef94dbf25ba3c8968db29d1813b2d2c99fee9d6cdbf4fea75487f4d3f179b5d
0,0.0,0,0.0,7,280.5,0.0,0.028571429,0.0,0.0,Feb,1,1,1,3,returning_visitor,False,False,2.0,a14754e27cf4a2c0694b2b52a3a24f26aaf768748158376df4319115d5ee9891
0,0.0,0,0.0,6,98.0,0.0,0.066666667,0.0,0.0,Feb,2,5,1,3,returning_visitor,False,False,2.0,39da8f6fe495408f2ce5789699aac66a2b03445f3fdc4ccdb30a823f205e946f
0,0.0,0,0.0,2,68.0,0.0,0.1,0.0,0.0,Feb,3,2,3,3,returning_visitor,False,False,2.0,eccbff3b132db0aec6d2f5f8357a0bda8e42946fa676ecb8866a6df78bf942ab
2,53.0,0,0.0,23,1668.285119,0.008333333,0.016312636,0.0,0.0,Feb,1,1,9,3,returning_visitor,False,False,2.0,04daa7e380536c9187d15e418a4e77a5173fb9ed2fa48492b01100a13e742d39
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Feb,1,1,4,3,returning_visitor,False,False,2.0,da392e5771fe851d5972cc15760cb97e58ee785ae0191b0aec5216b009da2a6f
0,0.0,0,0.0,13,334.9666667,0.0,0.007692308,0.0,0.0,Feb,1,1,1,4,returning_visitor,True,False,2.0,cd636f1e1d34e6459137c5e133f945092bfa293a0aef47d4c02e5c60f309d782
0,0.0,0,0.0,2,32.0,0.0,0.1,0.0,0.0,Feb,2,2,1,3,returning_visitor,False,False,2.0,52efa3c6d0288304ac008a0b6352e0a701f14e5250103b13dacc3b26f43e6903
0,0.0,0,0.0,20,2981.166667,0.0,0.01,0.0,0.0,Feb,2,4,4,4,returning_visitor,False,False,2.0,7febf4d50fd0dcd7b547e2717fdfd9bfe8ad548035f116a93beb1939a78a20c0
0,0.0,0,0.0,8,136.1666667,0.0,0.008333333,0.0,1.0,Feb,2,2,5,1,returning_visitor,True,False,2.0,d82a287867f7db21972d897ac3cb24f9fd317d374727134880393fbc331d611c
0,0.0,0,0.0,2,0.0,0.2,0.2,0.0,0.0,Feb,3,3,1,3,returning_visitor,False,False,2.0,94144fb1e851432326f17187f3319075a85cb405ed33d82ce83159011e4032b6
0,0.0,0,0.0,3,105.0,0.0,0.033333333,0.0,0.0,Feb,3,2,1,5,returning_visitor,False,False,2.0,be9026730915dc7a5f0a525f14c5a90c42d5d7eb03ac8f3027e56354011acdd8
0,0.0,0,0.0,2,15.0,0.0,0.1,0.0,0.8,Feb,2,4,1,3,returning_visitor,False,False,2.0,ca1f2650a89900bda3fbcde5966e5508aca0091e68ad9fef941f269de8537ac7
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Feb,2,2,4,1,returning_visitor,True,False,2.0,857c71d3172f72b74440aacdb9d39a28a64b05cf2cf26f0383680f2a3b6a9c1a
0,0.0,0,0.0,5,156.0,0.0,0.04,0.0,0.0,Feb,1,1,9,3,returning_visitor,False,False,2.0,5c75f5bc1e7c5c68be51a0b3bcb3ea33c7de1c4ef601f6ecd4be2b773cfdd883
4,64.6,0,0.0,32,1135.444444,0.002857143,0.00952381,0.0,0.0,Feb,2,2,1,3,returning_visitor,False,False,2.0,5ca830bb6021ad8bbdc3fc76da2a7f8c836beec2f6295a9fe7cfbf08f7fa4cd7
0,0.0,0,0.0,4,76.0,0.05,0.1,0.0,0.0,Feb,1,1,1,3,returning_visitor,False,False,2.0,a8a158e2b9d2e09d9a15e8c1e70d762aa1021edd372fa33af19cf3fcdc7dc514
0,0.0,0,0.0,4,63.0,0.0,0.05,0.0,0.2,Feb,2,6,1,3,returning_visitor,False,False,2.0,6c39fb2987b3770024b3f288010004212b1b68e57b569b08b945cfafcad00224
1,6.0,1,0.0,45,1582.75,0.043478261,0.050821256,54.17976426,0.4,Feb,3,2,1,1,returning_visitor,False,False,2.0,eed72251c55c8b6c4d97bbe323220a8f8b37cd795f51293d156e5b7a5cc7b135
0,0.0,0,0.0,2,35.0,0.0,0.1,0.0,0.0,Feb,1,1,6,3,returning_visitor,False,False,2.0,6c2b3297aefa7029a34851328cffd8eae1c878e740b170d40c4b3ebef27a7f98
0,0.0,0,0.0,3,78.0,0.0,0.066666667,0.0,0.0,Feb,1,2,6,6,returning_visitor,True,False,2.0,8ff93ccf1362a261487d2649fc8e75238617139902a3d825a9d940a32d97c3de
0,0.0,0,0.0,8,209.5,0.0,0.025,0.0,0.0,Feb,2,2,1,1,returning_visitor,False,False,2.0,6df1c685aa9ea94b370d53a885fdc056a0bfa5d520cd79b0c291218ee11e08fa
0,0.0,0,0.0,10,183.6666667,0.04,0.08,0.0,0.0,Feb,1,1,3,1,returning_visitor,False,False,2.0,5518c6747dcbde5e604adb77d2cf34697cac3f75ec127f994f1056ef7c4c9f03
0,0.0,0,0.0,14,380.5,0.014285714,0.028571429,0.0,0.0,Feb,2,2,1,1,returning_visitor,False,False,2.0,1aef02c65e5cf9cb81d19582baae96f6c4552a9f1fc8ffed38592f8cb03f5938
0,0.0,0,0.0,52,2086.242857,0.015384615,0.020352564,0.0,0.0,Feb,2,2,7,1,returning_visitor,False,False,2.0,4350841181eb970f441dd33a20be88ec4abb0cd2f32c2af60e4c7664de7df697
0,0.0,0,0.0,8,388.0,0.025,0.05625,0.0,0.0,Feb,3,2,1,4,returning_visitor,True,False,2.0,0561c98dc0dd99b672badc8b1ce6ebf4bc65a115ee20c0539cf7d6596bcfdd7e
2,18.0,0,0.0,5,298.0,0.0,0.028571429,0.0,0.8,Feb,2,2,8,4,returning_visitor,False,False,2.0,8e96ba65b7438727afffbe9dcd1eb0ea0caca6f7c615b760afe3fec50b494272
0,0.0,0,0.0,7,63.0,0.028571429,0.071428571,0.0,0.6,Feb,2,2,1,3,returning_visitor,False,False,2.0,c92e345d50009730b8ea4f4466f644385237fc615349174f282f09392ecaef1f
0,0.0,0,0.0,9,482.0,0.0,0.022222222,0.0,0.0,Feb,2,5,1,6,returning_visitor,False,False,2.0,6efc843a510696e1a6931882723cfd19bfc1d9e72b1f2e71052c1ffa8e886e7b
1,9.0,0,0.0,46,4084.393939,0.0,0.001794872,0.0,0.0,Feb,2,2,8,4,returning_visitor,False,False,2.0,2c2d7f74ae1f2cb285d310bc3ad7773946d00ece665f8d63e80cdff2d1919d08
0,0.0,0,0.0,3,22.0,0.0,0.066666667,0.0,0.6,Feb,1,1,3,2,returning_visitor,False,False,2.0,76ea835d1ed820c7376036f54a8b0eeac4167380f62923dcaca92949ddb34eaf
0,0.0,0,0.0,15,310.1666667,0.0,0.006666667,0.0,0.0,Feb,1,1,4,4,returning_visitor,False,False,2.0,6eed27822280168eda63c4308b9d80b94fa7062e2769a5fa12c7201ed3758a64
0,0.0,0,0.0,2,34.0,0.0,0.05,0.0,0.4,Feb,3,2,2,3,returning_visitor,False,False,2.0,ab12c282c6dc536526f2533648df0a42148bb30130854d9f89d35aa0d956bfe7
0,0.0,0,0.0,4,88.0,0.0,0.05,0.0,0.0,Feb,4,1,1,3,returning_visitor,False,False,2.0,310fa3a591618c2414105ef204e216650dd4c6957480dec601fa38653a31f1ac
0,0.0,0,0.0,22,622.25,0.003030303,0.006060606,0.0,0.2,Feb,2,5,1,4,returning_visitor,False,False,2.0,751bacef12350ac7962383ab15f8898cd65a732f113ad2f37357c00bbafdf0fa
0,0.0,0,0.0,14,222.4,0.017142857,0.057142857,0.0,0.0,Feb,1,1,1,2,returning_visitor,False,False,2.0,8831b7157fda5eece5a15549de7a0be3f417106a58f46bd96ffcccb4c145cfef
0,0.0,0,0.0,3,80.0,0.066666667,0.133333333,0.0,0.2,Feb,3,2,1,3,returning_visitor,False,False,2.0,f4c74809a0edc4dc8820886118b6caf240f682cead29e6a3d0914262a671b8e8
0,0.0,0,0.0,11,800.8333333,0.0,0.003636364,0.0,0.0,Feb,3,2,1,3,returning_visitor,False,False,2.0,5b9938bdcfd3955c6db1af421b9d8e403ed5e0176e66d282b63e2d28f84383d4
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.6,Feb,2,2,3,2,returning_visitor,False,False,2.0,624b77c3f06fed7b4dcf0b50c7fb7d8dd83919db1064548f16953207fb769a3e
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Feb,1,1,3,4,returning_visitor,True,False,2.0,8df2b4a83ec0cd5be2e31cf02cf58d20bddb71279f8dc85c26343587aa487b94
0,0.0,0,0.0,12,265.1666667,0.011111111,0.026111111,0.0,0.2,Feb,3,2,1,3,returning_visitor,False,False,2.0,7b37c66c40670b46590b1126b4466a90c5116bf7fbc1af0538843d81ee58371f
0,0.0,0,0.0,2,29.0,0.0,0.1,0.0,1.0,Feb,2,4,4,2,returning_visitor,True,False,2.0,141a588da0c9a85f463b339461874b7e17a0e3b7803f87b62bf2e844bd81ddec
0,0.0,0,0.0,4,160.0,0.0,0.075,0.0,0.0,Feb,4,2,2,3,returning_visitor,False,False,2.0,232a04edbd4ce069ac03a85b69ce57bfb7aa217979350b043f82758466061975
0,0.0,0,0.0,4,135.6666667,0.05,0.025,0.0,0.4,Feb,3,3,1,4,returning_visitor,False,False,2.0,30ba4f8a758af4187a0f43a9eced65d4150ddadbe635a6ff32a374e8b2bcc9b2
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.2,Feb,2,4,1,3,returning_visitor,False,False,2.0,3a43b8a22c0db113662be81a69657e9b5ecef6f5bcfdcffd6059f9297db25f11
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.6,Feb,3,2,3,3,returning_visitor,False,False,2.0,f7e6843b1f530dbb7964a8e33f8f1a3f3468d1b72ac20e9ae97720a3acd9e2de
4,56.0,2,120.0,36,998.7416667,0.0,0.014736467,19.44707913,0.2,Feb,2,2,4,1,returning_visitor,False,False,2.0,6614294d8f012144947d5eca0b8a3a86d56f1e24784ede87504998592cbb4650
0,0.0,0,0.0,4,104.0,0.0,0.05,0.0,0.4,Feb,2,6,6,3,returning_visitor,False,False,2.0,6bff3267fad94aff356c0b1e6240e8b207783eb7e6e01b8141ac67685844a883
2,16.0,0,0.0,16,381.6865079,0.011764706,0.046568627,0.0,0.6,Feb,2,4,2,1,returning_visitor,False,False,2.0,3a245f14a890506c6bf2596f3574e98c73659f83c613d442c04c7f0c3953bb31
0,0.0,0,0.0,6,169.0,0.0,0.016666667,0.0,0.4,Feb,1,1,3,3,returning_visitor,False,False,2.0,68b9a46dfc354fe08b18bf817294b4f7d2339bf341648b0057071ab861cae8f2
0,0.0,0,0.0,8,400.8,0.05,0.120833333,0.0,0.0,Feb,1,1,1,3,returning_visitor,False,False,2.0,878661b6ef9e20d4239db5e2efc1d72d20a9c3c43c936894cb19064673d2a196
12,279.4166667,0,0.0,42,1553.583333,0.009,0.019666667,38.30849268,0.0,Feb,1,1,3,2,returning_visitor,False,False,2.0,f5db887b3e774ec79178558235147285573e83ea7d097e8e6f0f795b7578879e
0,0.0,0,0.0,14,706.5,0.0,0.007142857,0.0,0.0,Feb,2,2,5,4,returning_visitor,True,False,2.0,c9a4fdacbc0584f62bd15784b1e16d3772c0e33870a7b9161a30632c03cd2f2b
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Feb,2,2,4,3,returning_visitor,False,False,2.0,e0177410850e20d1389c0073272a70841d275b962b6e22fb891db778c4ee3aec
3,87.83333333,0,0.0,27,798.3333333,0.0,0.012643678,22.9160357,0.8,Feb,2,2,3,1,returning_visitor,False,True,2.0,d7b43f1cb92bece0438cb85c73bd3523e291e8b463c4216e4b566b2c2edab8ff
4,44.0,0,0.0,90,6951.972222,0.002150538,0.015013034,0.0,0.0,Feb,4,1,1,3,returning_visitor,False,False,2.0,0f20c33df98b9bbf726151aced1b56610f676b82c54d1879a84d446bf0971ee8
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.6,Feb,2,2,5,1,returning_visitor,False,False,2.0,3b9ea92b12cf4082daf1ab31de2671bb9103a2238ddbc58c19e4370d53b6cf4c
0,0.0,0,0.0,18,902.0,0.0,0.007407407,0.0,0.0,Feb,2,7,2,4,returning_visitor,False,False,2.0,7b4c3bd5e3acfbf84ca6ae1b379f10e54069920ae48d504522acca685189e6a9
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.2,Feb,3,2,3,3,returning_visitor,False,False,2.0,8d833fea67420f6cf179351e2eebafc3b4e315b362d2a109384f3be67fbe306b
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Feb,2,6,1,2,returning_visitor,False,False,2.0,535727d61d64b73584ae80d699f2e0c20f423c785b1eeb0f1703ea7e4d1c95c6
0,0.0,0,0.0,20,197.3777778,0.025,0.0525,0.0,0.0,Feb,2,6,6,1,returning_visitor,False,False,2.0,e41d1b454d18951dcf710f3e90ebd09bcd01e62e94d59127e17edd6bed88f602
0,0.0,0,0.0,2,43.0,0.0,0.1,0.0,0.4,Feb,2,2,3,3,returning_visitor,False,False,2.0,e86217d7f24b68775a8ae914c478bbf196e26623fa2944101c8f277a54af9c12
0,0.0,0,0.0,8,426.6666667,0.0,0.0125,0.0,0.0,Feb,2,4,3,2,returning_visitor,False,False,2.0,8ec17d6b601f4911a22ffd74dda915898abfbe5889e73d90f8ded41862e56664
0,0.0,0,0.0,3,135.0,0.0,0.066666667,0.0,0.0,Feb,2,4,3,3,returning_visitor,False,False,2.0,661e6659454ba50a9b7cef3f8847ac4c02b851f0415c0cf3a62a20a68c10dca0
0,0.0,0,0.0,16,588.3333333,0.0,0.025,0.0,0.0,Feb,2,4,1,1,returning_visitor,False,False,2.0,5adcce24c0746e68d76b9bd3717f45ebbbcad3f48302e1220e5deb8a0ca45cdd
